C8g//BgchSunBQFm//0rCA==,22,61
C8g/IhgdQiu/Bf+MAQgrHA==,21,21
C8g/JRgcXCu1A/8g/64rFg==,18,18
C8g/JRgpCBtrAgCV/58bCw==,51,54
C8g0Nhgw9CugAQAOAFUrAA==,30,30
C8g2GxgYbiu2Af+T/+QrFg==,17,17
C8g2GxgYbiumAAAtAAwrBg==,21,21
C8g3PxggjRh5AP/eAAIYFw==,25,29
C8g3bBgYxCuuAQAZ/7srDg==,10,10
C8g45BgbPiuoAwBEAForHw==,11,11
C8g6qRgjoiu6A/9KAF8rGg==,19,19
C8gA8xgIYyu9AP/3ABwrHw==,17,9
C8gAABhNryutAQA0/6ErDQ==,90,75
C8gB2xgMISu8A/93AJgrHA==,56,56
C8gB9hgknSu0Av96/5YrFA==,25,29
C8gBfRggMiu1BACA/9grBQ==,13,13
C8gDnRgH6iOVBP8e/4ojFQ==,38,31
C8gEXRgf2A42AP/p//wOFg==,11,11
C8gEfBgJdCusAQBN/7ErDA==,24,37
C8gGlRhkMiurCAFa/rwrDg==,34,34
C8gGmRgKYSu1Af+d/9IrFQ==,24,26
C8gHehgKXyulAQBiAC0rBQ==,35,29
C8gIaBhiFSutAgBJ/5QrDQ==,17,17
C8gJ7BhfwBttAgA0/5kbDQ==,87,87
C8gJCBgLQiutAQA0/6wrDQ==,53,26
C8gJiBgSoRtnAAA9AAUbBw==,73,68
C8gJyhgK6Su1BP8a/5wrFQ==,10,13
C8gKFRhfchttBQCp/vEbDQ==,72,95
C8gKOhgNYCukAwAx/8MrFA==,11,10
C8gKZxgTUyuyAP/o/98rEg==,10,10
C8gKhhgStBtnAAAvAAMbBw==,81,81
C8gKvxgL/Cu1Af+a/9grFQ==,33,29
C8gL6BgM6CumAAA5ABYrBQ==,14,14
C8gLjxgaViu8CwBBAPMrBg==,22,19
C8gMLxgONCu3AP/Y//srFw==,16,17
C8gMNhgS4SuvAAAB/9IrDw==,12,7
C8gOzRgbTCuvCv5r/rYrGw==,12,12
C8gPMxgM8Bh2Af+N/9sYFg==,45,46
C8gPmRgQkCusAAAT/+0rDA==,3,3
C8gPsBgUOiOMAQBI/7QjDA==,69,66
C8gPtxgVNjPKAAAL//ozCg==,13,13
C8gRThhlcSuwAv/h/2srEg==,81,89
C8gS9RgXdCuvAv/o/5YrFQ==,26,34
C8gSwRgUqxtmAAAeAAkbBg==,64,63
C8gSyBgOyyu2Af+x/+4rFg==,15,15
C8gT8xgPCyuuAQAf/64rDg==,9,9
C8gTNBg0Kht9GvtpA8UbGg==,96,100
C8gTchgOQxtuAAAP/9UbDg==,12,12
C8gTgxgZ3yuiAQAfADkrAg==,25,24
C8gTwxgOQyOGAQBPABUjBg==,41,40
C8gUuBgRjCu1Af+6/9orFQ==,6,6
C8gUuBgRjCu9A/9R//wrFQ==,20,20
C8gVcBg5WRt8FfzyA0YbAA==,84,88
C8gVchgV1SukAQA2ADUrAQ==,16,20
C8gVshg4chtxFv5g+8IbEw==,90,96
C8gX5RgW3iuuAQAb/8UrDg==,9,20
C8gXqhgZXSuzAf+y/7MrEw==,34,34
C8gadhgd2iu8A/9sAGkrGA==,21,21
C8gbFBheCSOeFQBkBGcjAg==,98,99
C8gbKxgfySutA//P/3YrFQ==,7,7
C8ge1xga4Su9Af/NAFArHQ==,43,47
C8gePhgiNSuoAgC6/+srCQ==,49,52
C8geUBgbvCu/Af/2AEYrHw==,19,19
C8gg8xgh+SOXCf2q/60jFw==,74,81
C8ghYhgZ0SuzAf/K/70rEg==,27,36
C8gjthgazSu+Af/jAFsrHg==,20,20
C8glAxg+kiulAgB/AFArBA==,35,25
C8glvBg0myuoBAEc/9wrCA==,80,80
C8gqPhgVxiuuAgBA/3ErDg==,14,14
C8gr9hgdrht4AP/sAAAbGA==,31,41
C8grURgpYCu+AP/8AA4rHg==,17,17
C8gtAxgjnDPHAAAdAAMzBw==,13,16
C8gu9Rga0yuuAAAP/9krDg==,11,11
C8guXRgWmCuvAQAV/5krDw==,19,19
C8gvbBga4Cu2Af+V/+ErFg==,10,15
C8gvnhgc5Cu/Af/wAForHw==,25,33
C8gx7BgmvDPYGfnm/0gzFg==,86,89
C8gx7xgknCuvAQAH/8crDw==,20,13
C8gzbxgbMBt3Av95//MbFw==,76,66
C8gzhhgX7yujAAAeAB4rAw==,20,20
C8h+BRginCirAAAf/+koCw==,33,30
